(look-at arthur mushroom docks), success,0:03,look at mushroom
(look-at arthur doorway toward townarch docks), success,0:09,look at doorway toward townarch
(move-through-doorway arthur docks townarch), success,0:12,go to doorway toward townarch
(look-at arthur dorian townarch), success,0:15,look at dorian
(talk-to arthur dorian townarch), success,0:17,talk to dorian
(give dorian loveletter arthur townarch), success,0:26,give loveletter to arthur
(move-through-door arthur townarch towngate townsquare), success,0:34,go to townsquare
(move-through-doorway arthur townsquare cliff), success,0:42,go to doorway toward cliff
(look-at arthur humanskull cliff), success,0:46,look at skull
(look-at arthur bouquet cliff), success,0:49,look at bouquet
(open arthur mansionentrance cliff), proximity error,0:55,open mansionentrance
(pickup arthur bouquet cliff), proximity error,1:00,pickup bouquet
(pickup arthur bouquet cliff), proximity error,1:04,pickup bouquet
(pickup arthur bouquet cliff), success,1:09,pickup bouquet
(open arthur mansionentrance cliff), success,1:13,open mansionentrance
(move-through-entrance arthur cliff mansionentrance mansion), success,1:16,go to mansionentrance
(talk-to arthur avery mansion), success,1:25,talk to avery
(talk-to arthur jordan mansion), success,1:32,talk to jordan
(give arthur loveletter avery mansion),failure,1:40,give loveletter to avery
(talk-to arthur roger mansion), success,1:49,talk to roger
(move-through-entrance arthur mansion mansionexit cliff), success,1:56,go to mansionexit
(move-through-doorway arthur cliff townsquare), success,2:06,go to doorway toward townsquare
(move-through-doorway arthur townsquare valley), success,2:14,go to doorway toward valley
(talk-to arthur james valley), success,2:21,talk to james
(open arthur fortentrance valley), success,2:47,open fortentrance
(move-through-entrance arthur valley fortentrance fort), success,2:50,go to fortentrance
(talk-to arthur camille fort), success,2:56,talk to camille
(look-at arthur loveletter fort), success,3:02,look at loveletter
(give arthur loveletter camille fort),failure,3:07,give loveletter to camille
(talk-to arthur ian fort), success,3:12,talk to ian
(talk-to arthur phillip fort), success,3:26,talk to phillip
(move-through-entrance arthur fort fortexit valley), success,3:33,go to fortexit
(move-through-doorway arthur valley townsquare), success,3:41,go to doorway toward townsquare
(talk-to arthur dave townsquare), success,3:47,talk to dave
(move-through-door arthur townsquare towngate townarch), success,3:53,go to townarch
(move-through-doorway arthur townarch dorian), failure,4:01,go to dorian
(talk-to arthur dorian townarch), success,4:04,talk to dorian
(move-through-door arthur townarch towngate townsquare), success,4:13,go to townsquare
(move-through-doorway arthur townsquare cliff), success,4:23,go to doorway toward cliff
(move-through-entrance arthur cliff mansionentrance mansion), success,4:33,go to mansionentrance
(give arthur loveletter jordan mansion), success,4:39,give loveletter to jordan
(move-through-entrance arthur mansion mansionexit cliff), success,4:52,go to mansionexit